gisjoin,fips,adi_natrank,adi_staternk
G37000100201001,370010201001,75,7
G37000100201002,370010201002,51,4
G37000100201003,370010201003,99,10
G37000100201004,370010201004,76,7
G37000100202001,370010202001,82,8
G37000100202002,370010202002,91,10
G37000100202003,370010202003,90,9
G37000100202004,370010202004,91,10
G37000100203001,370010203001,99,10
G37000100203002,370010203002,87,9
G37000100203003,370010203003,77,8
G37000100203004,370010203004,75,7
G37000100203005,370010203005,96,10
G37000100204001,370010204001,71,7
G37000100204002,370010204002,92,10
G37000100204003,370010204003,98,10
G37000100204004,370010204004,83,9
G37000100204005,370010204005,78,8
G37000100205011,370010205011,75,7
G37000100205012,370010205012,59,5
G37000100205021,370010205021,71,7
G37000100205022,370010205022,86,9
G37000100205023,370010205023,80,8
G37000100206011,370010206011,39,3
G37000100206012,370010206012,13,1
G37000100206013,370010206013,29,2
G37000100206021,370010206021,75,7
G37000100206022,370010206022,46,3
G37000100207011,370010207011,81,8
G37000100207012,370010207012,56,5
G37000100207013,370010207013,59,5
G37000100207014,370010207014,31,2
G37000100207021,370010207021,69,6
G37000100207022,370010207022,76,7
G37000100207023,370010207023,75,7
G37000100207024,370010207024,51,4
G37000100208011,370010208011,71,7
G37000100208012,370010208012,71,7
G37000100208021,370010208021,100,10
G37000100208022,370010208022,92,10
G37000100208023,370010208023,79,8
G37000100208024,370010208024,93,10
G37000100208025,370010208025,95,10
G37000100208026,370010208026,81,8
G37000100209011,370010209011,76,7
G37000100209012,370010209012,75,7
G37000100209013,370010209013,48,4
G37000100209021,370010209021,42,3
G37000100209022,370010209022,45,3
G37000100210001,370010210001,90,9
G37000100210002,370010210002,85,9
G37000100210003,370010210003,88,9
G37000100211011,370010211011,78,8
G37000100211012,370010211012,59,5
G37000100211013,370010211013,79,8
G37000100211021,370010211021,88,9
G37000100211022,370010211022,53,4
G37000100211023,370010211023,52,4
G37000100212011,370010212011,84,9
G37000100212012,370010212012,77,8
G37000100212013,370010212013,67,6
G37000100212041,370010212041,31,2
G37000100212042,370010212042,53,4
G37000100212043,370010212043,58,5
G37000100212051,370010212051,25,2
G37000100212052,370010212052,63,6
G37000100212053,370010212053,46,3
G37000100212061,370010212061,58,5
G37000100212062,370010212062,41,3
G37000100212063,370010212063,71,7
G37000100212071,370010212071,58,5
G37000100212072,370010212072,55,5
G37000100213001,370010213001,58,5
G37000100213002,370010213002,70,7
G37000100213003,370010213003,69,6
G37000100213004,370010213004,22,1
G37000100213005,370010213005,73,7
G37000100214001,370010214001,74,7
G37000100214002,370010214002,46,3
G37000100215001,370010215001,49,4
G37000100215002,370010215002,49,4
G37000100215003,370010215003,57,5
G37000100215004,370010215004,40,3
G37000100216001,370010216001,67,6
G37000100216002,370010216002,58,5
G37000100216003,370010216003,69,6
G37000100217011,370010217011,12,1
G37000100217012,370010217012,23,1
G37000100217013,370010217013,57,5
G37000100217022,370010217022,15,1
G37000100217023,370010217023,47,3
G37000100217031,370010217031,26,2
G37000100217032,370010217032,52,4
G37000100218011,370010218011,47,4
G37000100218012,370010218012,56,5
G37000100218013,370010218013,57,5
G37000100218021,370010218021,70,7
G37000100218022,370010218022,59,5
G37000100218031,370010218031,68,6
G37000100218032,370010218032,67,6
G37000100219011,370010219011,59,5
G37000100219012,370010219012,42,3
G37000100219013,370010219013,70,7
G37000100219021,370010219021,59,5
G37000100219022,370010219022,93,10
G37000100219023,370010219023,40,3
G37000100220011,370010220011,40,3
G37000100220012,370010220012,51,4
G37000100220021,370010220021,61,5
G37000100220022,370010220022,67,6
G37000100220023,370010220023,50,4
G37000300401001,370030401001,66,6
G37000300401002,370030401002,71,7
G37000300401003,370030401003,72,7
G37000300402001,370030402001,74,7
G37000300402002,370030402002,82,8
G37000300402003,370030402003,55,5
G37000300403001,370030403001,75,7
G37000300403002,370030403002,63,6
G37000300404001,370030404001,73,7
G37000300404002,370030404002,81,8
G37000300404003,370030404003,70,7
G37000300404004,370030404004,77,8
G37000300404005,370030404005,79,8
G37000300405001,370030405001,88,9
G37000300405002,370030405002,70,7
G37000300405003,370030405003,78,8
G37000300405004,370030405004,70,7
G37000300406001,370030406001,78,8
G37000300406002,370030406002,91,10
G37000300406003,370030406003,46,3
G37000300407001,370030407001,87,9
G37000300407002,370030407002,45,3
G37000300407003,370030407003,44,3
G37000300407004,370030407004,41,3
G37000509501001,370059501001,69,6
G37000509501002,370059501002,55,5
G37000509501003,370059501003,71,7
G37000509501004,370059501004,36,2
G37000509502001,370059502001,64,6
G37000509502002,370059502002,69,6
G37000509502003,370059502003,85,9
G37000509502004,370059502004,89,9
G37000509503001,370059503001,49,4
G37000509503002,370059503002,62,6
G37000509503003,370059503003,52,4
G37000709201001,370079201001,72,7
G37000709201002,370079201002,88,9
G37000709201003,370079201003,82,8
G37000709202001,370079202001,82,8
G37000709203001,370079203001,84,9
G37000709203002,370079203002,85,9
G37000709203003,370079203003,65,6
G37000709204001,370079204001,70,7
G37000709204002,370079204002,83,9
G37000709204003,370079204003,95,10
G37000709205001,370079205001,81,8
G37000709205002,370079205002,85,9
G37000709205003,370079205003,77,8
G37000709205004,370079205004,71,7
G37000709205005,370079205005,80,8
G37000709206001,370079206001,80,8
G37000709206002,370079206002,92,10
G37000709206003,370079206003,91,10
G37000909702001,370099702001,78,8
G37000909702002,370099702002,81,8
G37000909702003,370099702003,72,7
G37000909703001,370099703001,82,8
G37000909703002,370099703002,79,8
G37000909704001,370099704001,81,8
G37000909704002,370099704002,57,5
G37000909704003,370099704003,83,9
G37000909704004,370099704004,66,6
G37000909705001,370099705001,61,5
G37000909705002,370099705002,83,9
G37000909705003,370099705003,58,5
G37000909705004,370099705004,52,4
G37000909705005,370099705005,52,4
G37000909707001,370099707001,71,7
G37000909707002,370099707002,41,3
G37000909707003,370099707003,49,4
G37000909707004,370099707004,100,10
G37000909707005,370099707005,30,2
G37000909708001,370099708001,55,5
G37000909708002,370099708002,61,5
G37000909708003,370099708003,65,6
G37001109301001,370119301001,38,3
G37001109301002,370119301002,53,4
G37001109301003,370119301003,62,6
G37001109302001,370119302001,25,2
G37001109302002,370119302002,82,8
G37001109302003,370119302003,52,4
G37001109303011,370119303011,81,8
G37001109303012,370119303012,70,7
G37001109303013,370119303013,90,9
G37001109303014,370119303014,52,4
G37001109303021,370119303021,82,8
G37001109303022,370119303022,79,8
G37001109303023,370119303023,76,7
G37001109304002,370119304002,62,6
G37001109304003,370119304003,72,7
G37001309301001,370139301001,82,8
G37001309301002,370139301002,75,7
G37001309301003,370139301003,80,8
G37001309301004,370139301004,71,7
G37001309301005,370139301005,73,7
G37001309301006,370139301006,96,10
G37001309302001,370139302001,67,6
G37001309302002,370139302002,73,7
G37001309302003,370139302003,48,4
G37001309303001,370139303001,82,8
G37001309303002,370139303002,76,7
G37001309303003,370139303003,85,9
G37001309304001,370139304001,77,8
G37001309304002,370139304002,45,3
G37001309304003,370139304003,62,6
G37001309304004,370139304004,100,10
G37001309305011,370139305011,27,2
G37001309305012,370139305012,81,8
G37001309305013,370139305013,32,2
G37001309305021,370139305021,64,6
G37001309305022,370139305022,71,7
G37001309306001,370139306001,54,4
G37001309306002,370139306002,64,6
G37001309307001,370139307001,68,6
G37001309307002,370139307002,59,5
G37001309308001,370139308001,79,8
G37001309308002,370139308002,59,5
G37001309308003,370139308003,73,7
G37001309309001,370139309001,73,7
G37001309309002,370139309002,21,1
G37001309309003,370139309003,94,10
G37001309310001,370139310001,76,7
G37001309310002,370139310002,89,9
G37001309310003,370139310003,58,5
G37001309310004,370139310004,75,7
G37001509601001,370159601001,98,10
G37001509601002,370159601002,98,10
G37001509601003,370159601003,93,10
G37001509601004,370159601004,80,8
G37001509601005,370159601005,88,9
G37001509601006,370159601006,55,5
